design,s,threads,rep,wall_ns,collect_ns,count_ns,insert_ns,latch_ns,ok
ch-spin,0.5,96,3,71687231,1290139,0,70395104,320309785,1
ch-spin,0.5,96,4,108042572,1237074,0,104923600,680068379,1
unchained,1,1,0,485201859,87331536,123156,397747167,0,1
unchained,1,1,1,485136221,87123258,125793,397887170,0,1
unchained,1,1,2,484466333,87196309,124822,397145202,0,1
unchained,1,1,3,486029195,87497482,125411,398406302,0,1
unchained,1,1,4,483200522,87209198,129622,395861702,0,1
chained,1,1,0,1515067218,0,0,1515067218,0,1
chained,1,1,1,1474324203,0,0,1474324203,0,1
chained,1,1,2,1569300181,0,0,1569300181,0,1
chained,1,1,3,1516343818,0,0,1516343818,0,1
chained,1,1,4,1558954034,0,0,1558954034,0,1
ch-mutex,1,1,0,1442610470,75053945,0,1367485859,2050092,1
ch-mutex,1,1,1,1473817200,75123730,0,1398608224,2111399,1
ch-mutex,1,1,2,1393298585,74986512,0,1318235394,1972449,1
ch-mutex,1,1,3,1418401518,75311703,0,1343000450,2020118,1
ch-mutex,1,1,4,1423700919,75250046,0,1348372694,2012357,1
ch-spin,1,1,0,1445889192,75847975,0,1369952808,1562318,1
ch-spin,1,1,1,1449172937,75952032,0,1373131102,1584877,1
ch-spin,1,1,2,1400577663,76154283,0,1324338200,1562293,1
ch-spin,1,1,3,1421612043,75726910,0,1345799989,1549286,1
ch-spin,1,1,4,1407605259,75875671,0,1331635715,1548419,1
unchained,1,2,0,246091460,44278714,209506,201603240,0,1
unchained,1,2,1,247307125,44489806,214802,202602517,0,1
unchained,1,2,2,246468745,44392397,229601,201846747,0,1
unchained,1,2,3,247092814,44295683,214377,202582754,0,1
unchained,1,2,4,247453044,44327650,228513,202896881,0,1
chained,1,2,0,946835473,0,0,946835473,0,1
chained,1,2,1,981941628,0,0,981941628,0,1
chained,1,2,2,1002772837,0,0,1002772837,0,1
chained,1,2,3,985581542,0,0,985581542,0,1
chained,1,2,4,951980980,0,0,951980980,0,1
ch-mutex,1,2,0,721938819,37532158,0,684355648,2056109,1
ch-mutex,1,2,1,721451699,40547602,0,680846137,2090681,1
ch-mutex,1,2,2,717745018,37646102,0,680047490,2058022,1
ch-mutex,1,2,3,718389422,37647391,0,680688086,2100570,1
ch-mutex,1,2,4,719983122,37613568,0,682527362,2059781,1
ch-spin,1,2,0,704461392,37965573,0,666570214,1718959,1
ch-spin,1,2,1,696898277,37885741,0,658955028,1692698,1
ch-spin,1,2,2,707941718,38025280,0,670041006,1694028,1
ch-spin,1,2,3,730143404,38055037,0,692196156,1893854,1
ch-spin,1,2,4,703313120,38021390,0,665366050,1699472,1
