point_id	key_config	dups	hit_rate	build_rows	threads	status	candidate_result	baseline_result	seconds
1e5_16B_2xu64_x8_h1.00_t32	16B_2xu64	x8	1.00	100000	32	PASS	1600000\t11288126601659679089\t6511913140278280939\n	1600000\t11288126601659679089\t6511913140278280939\n	0.29
1e5_16B_2xu64_x8_h0.50_t1	16B_2xu64	x8	0.50	100000	1	PASS	800000\t5087699471622728575\t5403731444340113823\n	800000\t5087699471622728575\t5403731444340113823\n	0.27
1e5_16B_2xu64_x8_h0.50_t32	16B_2xu64	x8	0.50	100000	32	PASS	800000\t5087699471622728575\t5403731444340113823\n	800000\t5087699471622728575\t5403731444340113823\n	0.29
1e5_16B_2xu64_x8_h0.05_t1	16B_2xu64	x8	0.05	100000	1	PASS	80000\t262151647420856719\t224661736472058499\n	80000\t262151647420856719\t224661736472058499\n	0.23
1e5_16B_2xu64_x8_h0.05_t32	16B_2xu64	x8	0.05	100000	32	PASS	80000\t262151647420856719\t224661736472058499\n	80000\t262151647420856719\t224661736472058499\n	0.29
1e5_16B_2xu64_skew_h0.05_t1	16B_2xu64	skew	0.05	100000	1	PASS	80000\t7107259150988167424\t4889915524297592094\n	80000\t7107259150988167424\t4889915524297592094\n	0.24
1e5_16B_2xu64_skew_h0.50_t1	16B_2xu64	skew	0.50	100000	1	PASS	799876\t14247057418709371294\t8555946338899058792\n	799876\t14247057418709371294\t8555946338899058792\n	0.31
1e5_16B_2xu64_skew_h1.00_t1	16B_2xu64	skew	1.00	100000	1	PASS	1599748\t8715096174340214842\t14591225956920653946\n	1599748\t8715096174340214842\t14591225956920653946\n	0.33
1e5_16B_2xu64_skew_h0.50_t32	16B_2xu64	skew	0.50	100000	32	PASS	799876\t14247057418709371294\t8555946338899058792\n	799876\t14247057418709371294\t8555946338899058792\n	0.32
1e5_16B_2xu64_skew_h1.00_t32	16B_2xu64	skew	1.00	100000	32	PASS	1599748\t8715096174340214842\t14591225956920653946\n	1599748\t8715096174340214842\t14591225956920653946\n	0.35
1e5_16B_2xu64_skew_h0.05_t32	16B_2xu64	skew	0.05	100000	32	PASS	80000\t7107259150988167424\t4889915524297592094\n	80000\t7107259150988167424\t4889915524297592094\n	0.28
1e5_32B_fs32_unique_h1.00_t1	32B_fs32	unique	1.00	100000	1	PASS	200000\t9468885781806205981\t11821154810989996583\n	200000\t9468885781806205981\t11821154810989996583\n	0.27
1e5_32B_fs32_unique_h1.00_t32	32B_fs32	unique	1.00	100000	32	PASS	200000\t9468885781806205981\t11821154810989996583\n	200000\t9468885781806205981\t11821154810989996583\n	0.26
1e5_32B_fs32_unique_h0.50_t1	32B_fs32	unique	0.50	100000	1	PASS	100000\t12072350485133613628\t236718236777007336\n	100000\t12072350485133613628\t236718236777007336\n	0.26
1e5_32B_fs32_unique_h0.05_t1	32B_fs32	unique	0.05	100000	1	PASS	10000\t1534795770693285661\t14850898071523013183\n	10000\t1534795770693285661\t14850898071523013183\n	0.29
1e5_32B_fs32_unique_h0.50_t32	32B_fs32	unique	0.50	100000	32	PASS	100000\t12072350485133613628\t236718236777007336\n	100000\t12072350485133613628\t236718236777007336\n	0.32
1e5_32B_fs32_unique_h0.05_t32	32B_fs32	unique	0.05	100000	32	PASS	10000\t1534795770693285661\t14850898071523013183\n	10000\t1534795770693285661\t14850898071523013183\n	0.29
1e5_32B_fs32_x8_h1.00_t1	32B_fs32	x8	1.00	100000	1	PASS	1600000\t8607985585785514518\t629073500190453832\n	1600000\t8607985585785514518\t629073500190453832\n	0.33
1e5_32B_fs32_x8_h1.00_t32	32B_fs32	x8	1.00	100000	32	PASS	1600000\t8607985585785514518\t629073500190453832\n	1600000\t8607985585785514518\t629073500190453832\n	0.31
1e5_32B_fs32_x8_h0.50_t1	32B_fs32	x8	0.50	100000	1	PASS	800000\t5398679002554477023\t8562848819907189313\n	800000\t5398679002554477023\t8562848819907189313\n	0.33
1e5_32B_fs32_x8_h0.05_t1	32B_fs32	x8	0.05	100000	1	PASS	80000\t13480292637478831815\t2146244921281130111\n	80000\t13480292637478831815\t2146244921281130111\n	0.25
1e5_32B_fs32_x8_h0.50_t32	32B_fs32	x8	0.50	100000	32	PASS	800000\t5398679002554477023\t8562848819907189313\n	800000\t5398679002554477023\t8562848819907189313\n	0.34
1e5_32B_fs32_x8_h0.05_t32	32B_fs32	x8	0.05	100000	32	PASS	80000\t13480292637478831815\t2146244921281130111\n	80000\t13480292637478831815\t2146244921281130111\n	0.29
1e5_32B_fs32_skew_h0.50_t32	32B_fs32	skew	0.50	100000	32	PASS	799876\t6521410464609759279\t17381287209013169369\n	799876\t6521410464609759279\t17381287209013169369\n	0.29
1e5_32B_fs32_skew_h1.00_t32	32B_fs32	skew	1.00	100000	32	PASS	1599748\t12099190194411076486\t6418316001761064262\n	1599748\t12099190194411076486\t6418316001761064262\n	0.36
1e5_32B_fs32_skew_h0.50_t1	32B_fs32	skew	0.50	100000	1	PASS	799876\t6521410464609759279\t17381287209013169369\n	799876\t6521410464609759279\t17381287209013169369\n	0.31
1e5_32B_fs32_skew_h1.00_t1	32B_fs32	skew	1.00	100000	1	PASS	1599748\t12099190194411076486\t6418316001761064262\n	1599748\t12099190194411076486\t6418316001761064262\n	0.37
1e5_32B_fs32_skew_h0.05_t1	32B_fs32	skew	0.05	100000	1	PASS	80000\t409664254973624197\t6106886362842198089\n	80000\t409664254973624197\t6106886362842198089\n	0.26
1e5_32B_fs32_skew_h0.05_t32	32B_fs32	skew	0.05	100000	32	PASS	80000\t409664254973624197\t6106886362842198089\n	80000\t409664254973624197\t6106886362842198089\n	0.29
1e5_32B_4xu64_unique_h1.00_t1	32B_4xu64	unique	1.00	100000	1	PASS	200000\t5171150718667415862\t8291288213394072438\n	200000\t5171150718667415862\t8291288213394072438\n	0.26
1e5_32B_4xu64_unique_h1.00_t32	32B_4xu64	unique	1.00	100000	32	PASS	200000\t5171150718667415862\t8291288213394072438\n	200000\t5171150718667415862\t8291288213394072438\n	0.32
1e5_32B_4xu64_unique_h0.05_t1	32B_4xu64	unique	0.05	100000	1	PASS	10000\t14288926706107267323\t9835262197845970927\n	10000\t14288926706107267323\t9835262197845970927\n	0.27
1e5_32B_4xu64_unique_h0.50_t1	32B_4xu64	unique	0.50	100000	1	PASS	100000\t13324058629487272765\t2040646982131864591\n	100000\t13324058629487272765\t2040646982131864591\n	0.29
1e5_32B_4xu64_unique_h0.05_t32	32B_4xu64	unique	0.05	100000	32	PASS	10000\t14288926706107267323\t9835262197845970927\n	10000\t14288926706107267323\t9835262197845970927\n	0.30
1e5_32B_4xu64_unique_h0.50_t32	32B_4xu64	unique	0.50	100000	32	PASS	100000\t13324058629487272765\t2040646982131864591\n	100000\t13324058629487272765\t2040646982131864591\n	0.31
1e5_32B_4xu64_x8_h1.00_t1	32B_4xu64	x8	1.00	100000	1	PASS	1600000\t10626975539919429488\t4325900909446851360\n	1600000\t10626975539919429488\t4325900909446851360\n	0.35
