probe_ab_report: 1 file(s), 8112 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier a: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 368   win=161 tie=51 loss=156   no-verdict=8
  aggregate 230,541.8 ms -> 210,259.1 ms (-8.8%)
  median per-cell delta +0.4%
  LOSSES on probe_cost: 156
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T96__tiera    1,673.8 ->    1,574.7    -5.9% (band 3.0%)
    tpcds__catalog_sales_cs_call_center_sk__call_center_cc_call_center_sk__T96__tiera    1,911.6 ->    1,800.7    -5.8% (band 3.0%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T96__tiera      456.3 ->      430.4    -5.7% (band 3.0%)
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__filtered__T96__tiera        3.2 ->        3.0    -5.2% (band 5.0%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T96__tiera      229.1 ->      217.9    -4.9% (band 3.0%)
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera    2,287.7 ->    2,180.3    -4.7% (band 3.0%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__filtered__T96__tiera    1,529.3 ->    1,457.8    -4.7% (band 3.0%)
    tpcds__store_returns_sr_store_sk__store_s_store_sk__filtered__T96__tiera      147.7 ->      141.5    -4.2% (band 3.0%)
    job__movie_companies_movie_id__movie_link_movie_id__T96__tiera       16.1 ->       15.4    -4.1% (band 3.0%)
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__T96__tiera       11.3 ->       10.8    -4.1% (band 3.9%)
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tiera       11.1 ->       10.7    -4.1% (band 4.0%)
    job__movie_info_movie_id__movie_link_movie_id__T96__tiera      103.2 ->       99.1    -4.0% (band 3.0%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T16__tiera       48.8 ->       46.9    -3.9% (band 3.0%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T96__tiera    1,224.0 ->    1,177.0    -3.8% (band 3.0%)
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T96__tiera      168.6 ->      162.2    -3.8% (band 3.5%)
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__filtered__T96__tiera      667.3 ->      642.3    -3.7% (band 3.0%)
    tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T96__tiera    1,182.3 ->    1,140.3    -3.6% (band 3.0%)
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera    1,190.9 ->    1,148.9    -3.5% (band 3.0%)
    tpcds__inventory_inv_warehouse_sk__warehouse_w_warehouse_sk__T96__tiera      852.6 ->      823.0    -3.5% (band 3.0%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T96__tiera      157.9 ->      152.6    -3.4% (band 3.0%)
    job__cast_info_movie_id__movie_link_linked_movie_id__T96__tiera      524.7 ->      507.6    -3.2% (band 3.0%)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T16__tiera       97.7 ->       94.6    -3.2% (band 3.0%)

CELLS WHOSE TWO METRICS MOVE IN OPPOSITE DIRECTIONS: 142 (listed in both lists above, never netted)
    job__cast_info_movie_id__complete_cast_movie_id__T96__tiera probe_cost=WIN(-13.5%) projection_cost=LOSS(+6.2%)
    job__cast_info_movie_id__movie_companies_movie_id__T16__tiera probe_cost=WIN(-4.5%) projection_cost=LOSS(+21.0%)
    job__cast_info_movie_id__movie_companies_movie_id__T96__tiera probe_cost=WIN(-10.2%) projection_cost=LOSS(+3.8%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T16__tiera probe_cost=WIN(-23.1%) projection_cost=LOSS(+14.2%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T96__tiera probe_cost=WIN(-20.1%) projection_cost=LOSS(+8.4%)
    job__cast_info_movie_id__movie_info_movie_id__T16__tiera probe_cost=WIN(-14.7%) projection_cost=LOSS(+15.6%)
    job__cast_info_movie_id__movie_keyword_movie_id__T16__tiera probe_cost=WIN(-23.2%) projection_cost=LOSS(+12.2%)
    job__cast_info_movie_id__movie_keyword_movie_id__T96__tiera probe_cost=WIN(-29.2%) projection_cost=LOSS(+4.9%)
    job__cast_info_movie_id__movie_link_linked_movie_id__T96__tiera probe_cost=LOSS(+15.4%) projection_cost=WIN(-3.2%)
    job__cast_info_movie_id__title_id__T16__tiera  probe_cost=WIN(-8.8%) projection_cost=LOSS(+27.8%)
    job__cast_info_movie_id__title_id__T96__tiera  probe_cost=WIN(-20.0%) projection_cost=LOSS(+3.8%)
    job__cast_info_movie_id__title_id__filtered__T16__tiera probe_cost=WIN(-15.3%) projection_cost=LOSS(+23.8%)
    job__cast_info_movie_id__title_id__filtered__T96__tiera probe_cost=WIN(-13.9%) projection_cost=LOSS(+12.0%)
    job__cast_info_person_id__aka_name_person_id__T16__tiera probe_cost=WIN(-3.3%) projection_cost=LOSS(+9.6%)
    job__cast_info_person_id__name_id__T16__tiera  probe_cost=WIN(-15.7%) projection_cost=LOSS(+16.6%)
    job__cast_info_person_role_id__char_name_id__T16__tiera probe_cost=WIN(-22.4%) projection_cost=LOSS(+17.0%)
    job__cast_info_person_role_id__char_name_id__T96__tiera probe_cost=WIN(-24.8%) projection_cost=LOSS(+7.7%)
    job__movie_companies_company_id__company_name_id__T16__tiera probe_cost=WIN(-22.3%) projection_cost=LOSS(+18.1%)
    job__movie_companies_company_id__company_name_id__T96__tiera probe_cost=WIN(-22.3%) projection_cost=LOSS(+9.2%)
    job__movie_companies_movie_id__aka_title_movie_id__T16__tiera probe_cost=WIN(-13.0%) projection_cost=LOSS(+11.5%)
    job__movie_companies_movie_id__aka_title_movie_id__T96__tiera probe_cost=WIN(-10.4%) projection_cost=LOSS(+3.2%)
    job__movie_companies_movie_id__complete_cast_movie_id__T16__tiera probe_cost=WIN(-8.7%) projection_cost=LOSS(+6.8%)
    job__movie_companies_movie_id__complete_cast_movie_id__T96__tiera probe_cost=WIN(-7.3%) projection_cost=LOSS(+5.0%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T16__tiera probe_cost=WIN(-15.5%) projection_cost=LOSS(+24.5%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T96__tiera probe_cost=WIN(-14.1%) projection_cost=LOSS(+8.5%)
    job__movie_companies_movie_id__movie_link_movie_id__T96__tiera probe_cost=LOSS(+26.5%) projection_cost=WIN(-4.1%)
    job__movie_companies_movie_id__title_id__T16__tiera probe_cost=WIN(-8.8%) projection_cost=LOSS(+27.5%)
    job__movie_companies_movie_id__title_id__filtered__T16__tiera probe_cost=WIN(-7.9%) projection_cost=LOSS(+16.2%)
    job__movie_info_idx_info_type_id__info_type_id__T16__tiera probe_cost=WIN(-7.5%) projection_cost=LOSS(+7.4%)
    job__movie_info_idx_info_type_id__info_type_id__filtered__T96__tiera probe_cost=LOSS(+47.5%) projection_cost=WIN(-8.9%)
    job__movie_info_movie_id__aka_title_movie_id__T16__tiera probe_cost=WIN(-18.5%) projection_cost=LOSS(+11.4%)
    job__movie_info_movie_id__aka_title_movie_id__T96__tiera probe_cost=WIN(-13.6%) projection_cost=LOSS(+5.2%)
    job__movie_info_movie_id__complete_cast_movie_id__T16__tiera probe_cost=WIN(-10.7%) projection_cost=LOSS(+6.8%)
    job__movie_info_movie_id__movie_companies_movie_id__T16__tiera probe_cost=WIN(-14.8%) projection_cost=LOSS(+17.6%)
    job__movie_info_movie_id__movie_companies_movie_id__T96__tiera probe_cost=WIN(-13.9%) projection_cost=LOSS(+5.6%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T16__tiera probe_cost=WIN(-20.6%) projection_cost=LOSS(+18.2%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T96__tiera probe_cost=WIN(-23.3%) projection_cost=LOSS(+10.0%)
    job__movie_info_movie_id__movie_keyword_movie_id__T16__tiera probe_cost=WIN(-22.7%) projection_cost=LOSS(+23.1%)
    job__movie_info_movie_id__movie_link_movie_id__T96__tiera probe_cost=LOSS(+31.3%) projection_cost=WIN(-4.0%)
    job__movie_info_movie_id__title_id__T16__tiera probe_cost=WIN(-17.1%) projection_cost=LOSS(+18.3%)
    job__movie_info_movie_id__title_id__T96__tiera probe_cost=WIN(-15.9%) projection_cost=LOSS(+11.0%)
    job__movie_info_movie_id__title_id__filtered__T16__tiera probe_cost=WIN(-12.2%) projection_cost=LOSS(+15.3%)
    job__movie_info_movie_id__title_id__filtered__T96__tiera probe_cost=WIN(-8.5%) projection_cost=LOSS(+11.9%)
    job__movie_keyword_keyword_id__keyword_id__T16__tiera probe_cost=WIN(-27.1%) projection_cost=LOSS(+10.0%)
    job__movie_keyword_keyword_id__keyword_id__filtered__T96__tiera probe_cost=LOSS(+27.4%) projection_cost=WIN(-7.9%)
    job__movie_keyword_movie_id__movie_link_movie_id__T96__tiera probe_cost=LOSS(+20.8%) projection_cost=WIN(-7.4%)
    job__name_id__aka_name_person_id__T16__tiera   probe_cost=WIN(-12.1%) projection_cost=LOSS(+10.3%)
    job__name_id__aka_name_person_id__T96__tiera   probe_cost=WIN(-13.9%) projection_cost=LOSS(+8.4%)
    job__person_info_person_id__aka_name_person_id__T16__tiera probe_cost=WIN(-18.9%) projection_cost=LOSS(+24.5%)
    job__person_info_person_id__aka_name_person_id__T96__tiera probe_cost=WIN(-17.6%) projection_cost=LOSS(+9.4%)
    job__title_id__aka_title_movie_id__T16__tiera  probe_cost=WIN(-16.5%) projection_cost=LOSS(+8.1%)
    job__title_id__aka_title_movie_id__T96__tiera  probe_cost=WIN(-12.9%) projection_cost=LOSS(+3.9%)
    job__title_id__complete_cast_movie_id__T16__tiera probe_cost=WIN(-17.1%) projection_cost=LOSS(+4.1%)
    job__title_id__movie_info_idx_movie_id__T16__tiera probe_cost=WIN(-13.5%) projection_cost=LOSS(+16.7%)
    job__title_id__movie_info_idx_movie_id__T96__tiera probe_cost=WIN(-9.7%) projection_cost=LOSS(+6.8%)
    stackoverflow__badges_UserId__users_Id__T16__tiera probe_cost=WIN(-23.1%) projection_cost=LOSS(+5.4%)
    stackoverflow__badges_UserId__users_Id__T96__tiera probe_cost=WIN(-9.0%) projection_cost=LOSS(+14.5%)
    stackoverflow__comments_PostId__posts_Id__T16__tiera probe_cost=WIN(-14.5%) projection_cost=LOSS(+5.8%)
    stackoverflow__comments_UserId__users_Id__T16__tiera probe_cost=WIN(-28.0%) projection_cost=LOSS(+33.8%)
    stackoverflow__comments_UserId__users_Id__T96__tiera probe_cost=WIN(-15.9%) projection_cost=LOSS(+9.4%)
    stackoverflow__posts_OwnerUserId__users_Id__T16__tiera probe_cost=WIN(-27.3%) projection_cost=LOSS(+31.7%)
    stackoverflow__posts_OwnerUserId__users_Id__T96__tiera probe_cost=WIN(-13.8%) projection_cost=LOSS(+8.4%)
    tpcds__catalog_returns_cr_call_center_sk__call_center_cc_call_center_sk__T96__tiera probe_cost=LOSS(+4.6%) projection_cost=WIN(-7.2%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-35.4%) projection_cost=LOSS(+21.7%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-27.8%) projection_cost=LOSS(+11.2%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-33.7%) projection_cost=LOSS(+19.7%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-14.1%) projection_cost=LOSS(+7.8%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera probe_cost=WIN(-16.5%) projection_cost=LOSS(+33.6%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera probe_cost=WIN(-21.7%) projection_cost=LOSS(+12.7%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T16__tiera probe_cost=WIN(-22.2%) projection_cost=LOSS(+34.2%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T96__tiera probe_cost=WIN(-10.7%) projection_cost=LOSS(+16.8%)
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera probe_cost=LOSS(+5.2%) projection_cost=WIN(-3.5%)
    tpcds__catalog_sales_cs_catalog_page_sk__catalog_page_cp_catalog_page_sk__T96__tiera probe_cost=LOSS(+3.8%) projection_cost=WIN(-6.9%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T96__tiera probe_cost=WIN(-9.9%) projection_cost=LOSS(+21.6%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T96__tiera probe_cost=LOSS(+7.0%) projection_cost=WIN(-5.9%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T96__tiera probe_cost=LOSS(+13.1%) projection_cost=WIN(-4.9%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-34.0%) projection_cost=LOSS(+21.9%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-14.6%) projection_cost=LOSS(+7.3%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T16__tiera probe_cost=WIN(-22.2%) projection_cost=LOSS(+35.4%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T96__tiera probe_cost=WIN(-13.0%) projection_cost=LOSS(+17.5%)
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tiera probe_cost=LOSS(+4.3%) projection_cost=WIN(-15.8%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T16__tiera probe_cost=WIN(-24.3%) projection_cost=LOSS(+18.9%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T96__tiera probe_cost=WIN(-26.0%) projection_cost=LOSS(+14.9%)
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T16__tiera probe_cost=WIN(-26.8%) projection_cost=LOSS(+8.5%)
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-31.7%) projection_cost=LOSS(+23.6%)
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-34.5%) projection_cost=LOSS(+8.0%)
    tpcds__customer_c_first_shipto_date_sk__date_dim_d_date_sk__filtered__T96__tiera probe_cost=LOSS(+11.1%) projection_cost=WIN(-5.2%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T16__tiera probe_cost=WIN(-26.0%) projection_cost=LOSS(+17.0%)
    tpcds__inventory_inv_warehouse_sk__warehouse_w_warehouse_sk__T96__tiera probe_cost=LOSS(+4.3%) projection_cost=WIN(-3.5%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera probe_cost=WIN(-9.4%) projection_cost=LOSS(+35.2%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera probe_cost=WIN(-16.2%) projection_cost=LOSS(+14.3%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-32.6%) projection_cost=LOSS(+20.3%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-10.7%) projection_cost=LOSS(+6.7%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera probe_cost=WIN(-14.8%) projection_cost=LOSS(+34.2%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T96__tiera probe_cost=WIN(-21.6%) projection_cost=LOSS(+14.2%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T16__tiera probe_cost=WIN(-20.7%) projection_cost=LOSS(+34.5%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T96__tiera probe_cost=WIN(-9.3%) projection_cost=LOSS(+15.8%)
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T96__tiera probe_cost=LOSS(+5.1%) projection_cost=WIN(-4.7%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T96__tiera probe_cost=LOSS(+7.9%) projection_cost=WIN(-6.6%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T96__tiera probe_cost=LOSS(+12.1%) projection_cost=WIN(-5.7%)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T96__tiera probe_cost=WIN(-11.4%) projection_cost=LOSS(+22.1%)
    tpcds__store_sales_ss_sold_date_sk__date_dim_d_date_sk__filtered__T96__tiera probe_cost=LOSS(+15.3%) projection_cost=WIN(-3.7%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T16__tiera probe_cost=WIN(-15.8%) projection_cost=LOSS(+16.6%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T96__tiera probe_cost=WIN(-20.2%) projection_cost=LOSS(+6.9%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T96__tiera probe_cost=LOSS(+17.3%) projection_cost=WIN(-7.0%)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-35.6%) projection_cost=LOSS(+22.1%)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-26.6%) projection_cost=LOSS(+7.7%)
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera probe_cost=WIN(-4.5%) projection_cost=LOSS(+33.2%)
    tpcds__web_returns_wr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tiera probe_cost=LOSS(+18.0%) projection_cost=WIN(-4.1%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-35.1%) projection_cost=LOSS(+21.5%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-27.4%) projection_cost=LOSS(+9.4%)
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T16__tiera probe_cost=WIN(-4.4%) projection_cost=LOSS(+33.2%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-34.7%) projection_cost=LOSS(+21.1%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-23.6%) projection_cost=LOSS(+8.0%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T16__tiera probe_cost=WIN(-20.8%) projection_cost=LOSS(+36.6%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T96__tiera probe_cost=WIN(-17.6%) projection_cost=LOSS(+13.7%)
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T96__tiera probe_cost=WIN(-8.9%) projection_cost=LOSS(+14.5%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T16__tiera probe_cost=WIN(-35.3%) projection_cost=LOSS(+20.1%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T96__tiera probe_cost=WIN(-23.6%) projection_cost=LOSS(+7.2%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T96__tiera probe_cost=LOSS(+17.1%) projection_cost=WIN(-3.4%)
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tiera probe_cost=LOSS(+3.5%) projection_cost=WIN(-16.0%)
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T96__tiera probe_cost=LOSS(+15.9%) projection_cost=WIN(-3.8%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T16__tiera probe_cost=WIN(-24.7%) projection_cost=LOSS(+21.2%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T96__tiera probe_cost=WIN(-26.5%) projection_cost=LOSS(+14.2%)
    tpch__customer_c_nationkey__nation_n_nationkey__T96__tiera probe_cost=LOSS(+4.0%) projection_cost=WIN(-12.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T16__tiera probe_cost=WIN(-35.5%) projection_cost=LOSS(+3.5%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T96__tiera probe_cost=WIN(-10.9%) projection_cost=LOSS(+8.3%)
    tpch__lineitem_l_partkey__part_p_partkey__T16__tiera probe_cost=WIN(-38.3%) projection_cost=LOSS(+30.2%)
    tpch__lineitem_l_partkey__part_p_partkey__T96__tiera probe_cost=WIN(-35.0%) projection_cost=LOSS(+5.4%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T16__tiera probe_cost=WIN(-9.4%) projection_cost=LOSS(+12.2%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T96__tiera probe_cost=WIN(-7.3%) projection_cost=LOSS(+7.5%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T16__tiera probe_cost=WIN(-22.8%) projection_cost=LOSS(+31.4%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T96__tiera probe_cost=WIN(-20.6%) projection_cost=LOSS(+18.1%)
    tpch__orders_o_custkey__customer_c_custkey__T16__tiera probe_cost=WIN(-36.1%) projection_cost=LOSS(+27.3%)
    tpch__orders_o_custkey__customer_c_custkey__T96__tiera probe_cost=WIN(-25.7%) projection_cost=LOSS(+8.7%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T16__tiera probe_cost=WIN(-14.8%) projection_cost=LOSS(+22.3%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T96__tiera probe_cost=WIN(-12.2%) projection_cost=LOSS(+10.1%)
    tpch__orders_o_custkey__customer_c_custkey__left__T16__tiera probe_cost=WIN(-35.7%) projection_cost=LOSS(+26.8%)
    tpch__orders_o_custkey__customer_c_custkey__left__T96__tiera probe_cost=WIN(-27.8%) projection_cost=LOSS(+8.0%)
    tpch__partsupp_ps_partkey__part_p_partkey__T16__tiera probe_cost=WIN(-35.0%) projection_cost=LOSS(+7.0%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T16__tiera probe_cost=WIN(-14.1%) projection_cost=LOSS(+30.5%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T96__tiera probe_cost=WIN(-29.6%) projection_cost=LOSS(+10.8%)

NO-VERDICT CELLS: 8
    tpcds__catalog_sales_cs_bill_customer_sk__store_returns_sr_customer_sk__T16__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 206.0s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 206.0s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__catalog_sales_cs_bill_customer_sk__store_returns_sr_customer_sk__T96__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 63.6s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 63.6s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__inventory_inv_item_sk__catalog_sales_cs_item_sk__T16__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 54.4s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 54.4s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__store_sales_ss_item_sk__catalog_sales_cs_item_sk__T16__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 149.5s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 149.5s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__store_sales_ss_item_sk__catalog_sales_cs_item_sk__T96__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 36.0s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 36.0s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__store_sales_ss_item_sk__web_sales_ws_item_sk__T16__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 75.0s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 75.0s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpch__customer_c_nationkey__supplier_s_nationkey__T16__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 570.2s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 570.2s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpch__customer_c_nationkey__supplier_s_nationkey__T96__tiera {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 137.1s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 137.1s > unit-time-budget 30.0s; unit skipped before any timed run'}

per-cell TSV written to reports/jbmt_real_a.tsv
machine-readable report written to reports/jbmt_real_a.json

CHECK SUMMARY: PASS (0 failed check(s))
