unit	probe_cost_verdict	probe_cost_median_a_us	probe_cost_median_b_us	probe_cost_delta_us	probe_cost_delta_pct	probe_cost_band_pct	probe_cost_reason	projection_cost_verdict	projection_cost_median_a_us	projection_cost_median_b_us	projection_cost_delta_us	projection_cost_delta_pct	projection_cost_band_pct	projection_cost_reason	dispatch_a_us	dispatch_b_us	lookup_a_us	lookup_b_us	probe_total_a_us	probe_total_b_us	wall_a_us	wall_b_us
key64:probe.asof.S4.T96	LOSS	48400187.0	51211420.0	2811233.0	5.808	3.000		LOSS	4254365.0	4785201.0	530836.0	12.477	3.000		728.5	14522.0	48399384.5	51196941.5	52653276.0	55994487.0	1223864.5	1288303.0
key64:probe.inner_all.S1.T96	LOSS	2395732.5	2531484.0	135751.5	5.666	3.000		LOSS	2197862.5	2377038.5	179176.0	8.152	3.000		719.5	6716.5	2395023.5	2524776.0	4588325.5	4909333.5	278425.0	284453.0
key64:probe.inner_all.S2.T1	WIN	22305.5	15604.5	-6701.0	-30.042	3.000		LOSS	18422.0	19109.0	687.0	3.729	3.000		0.0	41.5	22305.5	15565.0	40733.5	34726.0	213330.5	227866.5
key64:probe.inner_all.S2.T48	WIN	1365876.5	973228.5	-392648.0	-28.747	3.000		LOSS	924353.0	994113.5	69760.5	7.547	3.000		31.0	2790.5	1365839.0	970565.0	2290126.0	1964832.0	242213.0	238304.5
key64:probe.inner_all.S2.T96	WIN	4950670.5	3262513.5	-1688157.0	-34.100	3.000		LOSS	2189473.5	2841838.0	652364.5	29.795	3.000		633.5	6600.0	4949963.5	3255892.0	7134499.0	6085075.5	303636.0	300436.0
key64:probe.inner_all.S3.T96	WIN	8781644.0	5382450.0	-3399194.0	-38.708	3.000		LOSS	2439822.0	3202908.5	763086.5	31.276	3.000		659.5	6932.5	8781003.5	5375494.0	11224852.0	8583394.5	367816.5	374854.5
key64:probe.inner_all.S3.T96.h05	NO-VERDICT						harness voided: below-duration-floor (arm A median 122.4 ms < 200 ms)	NO-VERDICT						harness voided: below-duration-floor (arm A median 122.4 ms < 200 ms)	38.0	4672.0	5498155.0	4582405.0	5664147.0	4770234.0	121994.5	134582.0
key64:probe.inner_all.S3.T96.h50	WIN	7399230.0	5174390.0	-2224840.0	-30.069	3.000		LOSS	1193894.0	1551781.5	357887.5	29.976	3.000		246.0	5822.5	7398976.5	5168565.0	8593312.5	6725351.0	242678.0	249859.5
key64:probe.inner_all.S3.T96.statson	WIN	8776229.5	5371047.0	-3405182.5	-38.800	3.000		LOSS	2428877.0	3188807.5	759930.5	31.287	3.000		688.5	6964.0	8775537.5	5363992.5	11205521.5	8564476.5	368859.0	372247.5
key64:probe.inner_all.S4.T1	WIN	9780524.0	6296622.5	-3483901.5	-35.621	3.000		TIE	3572576.0	3599981.5	27405.5	0.767	3.000		11.5	6900.5	9780517.5	6289732.0	13323000.0	9903224.5	47173253.0	46812415.0
key64:probe.inner_all.S4.T48	WIN	11195839.0	8453571.0	-2742268.0	-24.494	3.008		LOSS	3782928.5	4320592.5	537664.0	14.213	3.000		169.0	13105.5	11195687.0	8440741.0	14976688.5	12790125.5	1172265.5	1238014.0
key64:probe.inner_all.S4.T96	WIN	18451024.5	11923930.5	-6527094.0	-35.375	3.000		LOSS	4720430.5	6322198.0	1601767.5	33.933	3.000		1275.5	15126.5	18449804.0	11908915.0	23175660.5	18216682.0	796151.0	841295.5
key64:probe.inner_all.S5.T96	WIN	74801818.0	55178929.5	-19622888.5	-26.233	6.878		LOSS	18642044.0	24828920.0	6186876.0	33.188	3.000		2322.5	59546.0	74799426.5	55120281.0	93386643.0	79949844.5	3227312.0	3442727.5
key64:probe.left_all.S2.T96	WIN	4720300.0	3154636.0	-1565664.0	-33.169	3.350		LOSS	2805770.0	3509758.0	703988.0	25.091	3.000		495.0	6784.5	4719752.5	3147838.5	7535322.0	6640336.0	304154.5	301179.0
key64:probe.left_all.S3.T96.jun	WIN	8847229.0	6010714.5	-2836514.5	-32.061	3.000		LOSS	6186668.5	7466085.5	1279417.0	20.680	3.000		575.5	7006.0	8846576.0	6003793.0	15043669.5	13457358.5	489063.5	510161.0
