probe_ab_report: 1 file(s), 8052 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier b: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 365   win=164 tie=50 loss=151   no-verdict=11
  aggregate 493,179.2 ms -> 449,846.8 ms (-8.8%)
  median per-cell delta -0.4%
  LOSSES on probe_cost: 151
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T16__tierb      194.5 ->      184.9    -4.9% (band 3.0%)
    tpcds__web_sales_ws_item_sk__item_i_item_sk__T96__tierb    1,668.8 ->    1,586.6    -4.9% (band 3.0%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T96__tierb      456.6 ->      434.4    -4.9% (band 3.0%)
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb    4,559.2 ->    4,338.8    -4.8% (band 3.0%)
    tpcds__web_returns_wr_reason_sk__reason_r_reason_sk__T96__tierb      234.0 ->      223.3    -4.6% (band 4.5%)
    tpcds__store_returns_sr_store_sk__store_s_store_sk__filtered__T96__tierb      171.4 ->      163.8    -4.5% (band 3.0%)
    job__movie_info_movie_id__movie_link_movie_id__T96__tierb      103.0 ->       98.6    -4.3% (band 3.0%)
    tpcds__store_returns_sr_store_sk__store_s_store_sk__T96__tierb      560.8 ->      537.3    -4.2% (band 3.0%)
    tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T96__tierb    2,346.0 ->    2,249.0    -4.1% (band 3.0%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T16__tierb       96.7 ->       92.8    -4.1% (band 3.0%)
    job__movie_keyword_keyword_id__keyword_id__filtered__T96__tierb        2.6 ->        2.5    -4.0% (band 3.9%)
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T96__tierb      351.3 ->      337.4    -4.0% (band 3.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__left_semi__T96__tierb    1,402.4 ->    1,347.6    -3.9% (band 3.0%)
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb    2,396.1 ->    2,303.0    -3.9% (band 3.0%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T96__tierb      333.2 ->      321.3    -3.6% (band 3.0%)
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T96__tierb      232.6 ->      224.5    -3.5% (band 3.0%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__left_semi__T16__tierb      582.2 ->      561.8    -3.5% (band 3.0%)
    job__movie_info_info_type_id__info_type_id__filtered__T96__tierb        7.3 ->        7.1    -3.5% (band 3.0%)
    job__movie_keyword_keyword_id__keyword_id__filtered__T16__tierb        1.7 ->        1.6    -3.4% (band 3.0%)
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb    1,210.1 ->    1,169.0    -3.4% (band 3.0%)
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T96__tierb       88.6 ->       85.6    -3.4% (band 3.0%)
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T16__tierb       48.6 ->       47.0    -3.4% (band 3.0%)
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__filtered__T96__tierb      507.6 ->      490.5    -3.4% (band 3.0%)

CELLS WHOSE TWO METRICS MOVE IN OPPOSITE DIRECTIONS: 149 (listed in both lists above, never netted)
    job__cast_info_movie_id__complete_cast_movie_id__T96__tierb probe_cost=WIN(-13.4%) projection_cost=LOSS(+5.3%)
    job__cast_info_movie_id__movie_companies_movie_id__T16__tierb probe_cost=WIN(-3.4%) projection_cost=LOSS(+21.6%)
    job__cast_info_movie_id__movie_companies_movie_id__T96__tierb probe_cost=WIN(-8.4%) projection_cost=LOSS(+3.9%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T16__tierb probe_cost=WIN(-23.3%) projection_cost=LOSS(+15.2%)
    job__cast_info_movie_id__movie_info_idx_movie_id__T96__tierb probe_cost=WIN(-19.7%) projection_cost=LOSS(+8.7%)
    job__cast_info_movie_id__movie_info_movie_id__T16__tierb probe_cost=WIN(-14.2%) projection_cost=LOSS(+15.7%)
    job__cast_info_movie_id__movie_keyword_movie_id__T16__tierb probe_cost=WIN(-23.7%) projection_cost=LOSS(+11.8%)
    job__cast_info_movie_id__movie_keyword_movie_id__T96__tierb probe_cost=WIN(-29.4%) projection_cost=LOSS(+4.6%)
    job__cast_info_movie_id__title_id__T16__tierb  probe_cost=WIN(-7.7%) projection_cost=LOSS(+28.1%)
    job__cast_info_movie_id__title_id__T96__tierb  probe_cost=WIN(-19.8%) projection_cost=LOSS(+5.1%)
    job__cast_info_movie_id__title_id__filtered__T16__tierb probe_cost=WIN(-14.4%) projection_cost=LOSS(+25.1%)
    job__cast_info_movie_id__title_id__filtered__T96__tierb probe_cost=WIN(-15.1%) projection_cost=LOSS(+9.7%)
    job__cast_info_person_id__aka_name_person_id__T16__tierb probe_cost=WIN(-3.2%) projection_cost=LOSS(+8.9%)
    job__cast_info_person_id__name_id__T16__tierb  probe_cost=WIN(-16.0%) projection_cost=LOSS(+16.6%)
    job__cast_info_person_role_id__char_name_id__T16__tierb probe_cost=WIN(-21.5%) projection_cost=LOSS(+18.1%)
    job__cast_info_person_role_id__char_name_id__T96__tierb probe_cost=WIN(-24.0%) projection_cost=LOSS(+7.6%)
    job__movie_companies_company_id__company_name_id__T16__tierb probe_cost=WIN(-21.0%) projection_cost=LOSS(+22.4%)
    job__movie_companies_company_id__company_name_id__T96__tierb probe_cost=WIN(-26.3%) projection_cost=LOSS(+7.6%)
    job__movie_companies_movie_id__aka_title_movie_id__T16__tierb probe_cost=WIN(-16.2%) projection_cost=LOSS(+9.6%)
    job__movie_companies_movie_id__complete_cast_movie_id__T16__tierb probe_cost=WIN(-9.4%) projection_cost=LOSS(+6.9%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T16__tierb probe_cost=WIN(-15.7%) projection_cost=LOSS(+24.8%)
    job__movie_companies_movie_id__movie_info_idx_movie_id__T96__tierb probe_cost=WIN(-14.1%) projection_cost=LOSS(+9.6%)
    job__movie_companies_movie_id__title_id__T16__tierb probe_cost=WIN(-9.4%) projection_cost=LOSS(+23.4%)
    job__movie_companies_movie_id__title_id__filtered__T16__tierb probe_cost=WIN(-7.1%) projection_cost=LOSS(+17.5%)
    job__movie_info_idx_info_type_id__info_type_id__T16__tierb probe_cost=WIN(-9.4%) projection_cost=LOSS(+8.7%)
    job__movie_info_idx_info_type_id__info_type_id__filtered__T16__tierb probe_cost=LOSS(+52.0%) projection_cost=WIN(-5.1%)
    job__movie_info_info_type_id__info_type_id__filtered__T96__tierb probe_cost=LOSS(+44.9%) projection_cost=WIN(-3.5%)
    job__movie_info_movie_id__aka_title_movie_id__T16__tierb probe_cost=WIN(-18.2%) projection_cost=LOSS(+12.1%)
    job__movie_info_movie_id__aka_title_movie_id__T96__tierb probe_cost=WIN(-16.0%) projection_cost=LOSS(+4.0%)
    job__movie_info_movie_id__complete_cast_movie_id__T16__tierb probe_cost=WIN(-10.6%) projection_cost=LOSS(+7.7%)
    job__movie_info_movie_id__movie_companies_movie_id__T16__tierb probe_cost=WIN(-14.8%) projection_cost=LOSS(+17.5%)
    job__movie_info_movie_id__movie_companies_movie_id__T96__tierb probe_cost=WIN(-11.4%) projection_cost=LOSS(+5.2%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T16__tierb probe_cost=WIN(-21.0%) projection_cost=LOSS(+18.8%)
    job__movie_info_movie_id__movie_info_idx_movie_id__T96__tierb probe_cost=WIN(-24.1%) projection_cost=LOSS(+9.9%)
    job__movie_info_movie_id__movie_keyword_movie_id__T16__tierb probe_cost=WIN(-23.4%) projection_cost=LOSS(+22.5%)
    job__movie_info_movie_id__movie_link_movie_id__T96__tierb probe_cost=LOSS(+27.0%) projection_cost=WIN(-4.3%)
    job__movie_info_movie_id__title_id__T16__tierb probe_cost=WIN(-17.8%) projection_cost=LOSS(+18.4%)
    job__movie_info_movie_id__title_id__T96__tierb probe_cost=WIN(-16.8%) projection_cost=LOSS(+10.7%)
    job__movie_info_movie_id__title_id__filtered__T16__tierb probe_cost=WIN(-12.1%) projection_cost=LOSS(+15.3%)
    job__movie_info_movie_id__title_id__filtered__T96__tierb probe_cost=WIN(-4.8%) projection_cost=LOSS(+12.6%)
    job__movie_keyword_keyword_id__keyword_id__T16__tierb probe_cost=WIN(-27.2%) projection_cost=LOSS(+11.4%)
    job__movie_keyword_keyword_id__keyword_id__filtered__T16__tierb probe_cost=LOSS(+33.0%) projection_cost=WIN(-3.4%)
    job__movie_keyword_keyword_id__keyword_id__filtered__T96__tierb probe_cost=LOSS(+29.6%) projection_cost=WIN(-4.0%)
    job__movie_keyword_movie_id__movie_link_movie_id__T96__tierb probe_cost=LOSS(+21.1%) projection_cost=WIN(-6.3%)
    job__name_id__aka_name_person_id__T16__tierb   probe_cost=WIN(-11.2%) projection_cost=LOSS(+9.9%)
    job__name_id__aka_name_person_id__T96__tierb   probe_cost=WIN(-13.4%) projection_cost=LOSS(+7.3%)
    job__person_info_person_id__aka_name_person_id__T16__tierb probe_cost=WIN(-20.2%) projection_cost=LOSS(+24.0%)
    job__person_info_person_id__aka_name_person_id__T96__tierb probe_cost=WIN(-19.4%) projection_cost=LOSS(+7.9%)
    job__title_id__aka_title_movie_id__T16__tierb  probe_cost=WIN(-17.5%) projection_cost=LOSS(+7.2%)
    job__title_id__complete_cast_movie_id__T16__tierb probe_cost=WIN(-16.7%) projection_cost=LOSS(+4.4%)
    job__title_id__movie_info_idx_movie_id__T16__tierb probe_cost=WIN(-14.5%) projection_cost=LOSS(+14.0%)
    job__title_id__movie_info_idx_movie_id__T96__tierb probe_cost=WIN(-10.3%) projection_cost=LOSS(+9.3%)
    stackoverflow__badges_UserId__users_Id__T16__tierb probe_cost=WIN(-26.4%) projection_cost=LOSS(+4.5%)
    stackoverflow__badges_UserId__users_Id__T96__tierb probe_cost=WIN(-11.1%) projection_cost=LOSS(+14.6%)
    stackoverflow__comments_PostId__posts_Id__T16__tierb probe_cost=WIN(-18.9%) projection_cost=LOSS(+8.2%)
    stackoverflow__comments_UserId__users_Id__T16__tierb probe_cost=WIN(-31.9%) projection_cost=LOSS(+40.0%)
    stackoverflow__comments_UserId__users_Id__T96__tierb probe_cost=WIN(-14.4%) projection_cost=LOSS(+10.9%)
    stackoverflow__posts_OwnerUserId__users_Id__T16__tierb probe_cost=WIN(-24.6%) projection_cost=LOSS(+38.6%)
    stackoverflow__posts_OwnerUserId__users_Id__T96__tierb probe_cost=WIN(-12.4%) projection_cost=LOSS(+9.8%)
    tpcds__catalog_returns_cr_call_center_sk__call_center_cc_call_center_sk__T96__tierb probe_cost=LOSS(+4.3%) projection_cost=WIN(-5.0%)
    tpcds__catalog_returns_cr_item_sk__item_i_item_sk__T16__tierb probe_cost=WIN(-4.6%) projection_cost=LOSS(+20.2%)
    tpcds__catalog_returns_cr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tierb probe_cost=LOSS(+15.6%) projection_cost=WIN(-6.2%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-19.7%) projection_cost=LOSS(+19.9%)
    tpcds__catalog_returns_cr_returning_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-13.5%) projection_cost=LOSS(+20.6%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-24.1%) projection_cost=LOSS(+23.5%)
    tpcds__catalog_sales_cs_bill_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-10.9%) projection_cost=LOSS(+12.3%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb probe_cost=WIN(-16.7%) projection_cost=LOSS(+33.5%)
    tpcds__catalog_sales_cs_bill_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb probe_cost=WIN(-22.4%) projection_cost=LOSS(+13.7%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T16__tierb probe_cost=WIN(-15.3%) projection_cost=LOSS(+31.8%)
    tpcds__catalog_sales_cs_bill_customer_sk__customer_c_customer_sk__T96__tierb probe_cost=WIN(-18.3%) projection_cost=LOSS(+6.7%)
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb probe_cost=LOSS(+5.1%) projection_cost=WIN(-3.9%)
    tpcds__catalog_sales_cs_item_sk__catalog_returns_cr_item_sk__composite__T96__tierb probe_cost=WIN(-10.5%) projection_cost=LOSS(+22.5%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__T16__tierb probe_cost=WIN(-10.5%) projection_cost=LOSS(+13.4%)
    tpcds__catalog_sales_cs_item_sk__item_i_item_sk__filtered__T96__tierb probe_cost=LOSS(+10.9%) projection_cost=WIN(-4.9%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-23.8%) projection_cost=LOSS(+22.9%)
    tpcds__catalog_sales_cs_ship_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-10.4%) projection_cost=LOSS(+13.3%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T16__tierb probe_cost=WIN(-15.4%) projection_cost=LOSS(+31.8%)
    tpcds__catalog_sales_cs_ship_customer_sk__customer_c_customer_sk__T96__tierb probe_cost=WIN(-19.0%) projection_cost=LOSS(+7.0%)
    tpcds__catalog_sales_cs_ship_date_sk__date_dim_d_date_sk__filtered__T96__tierb probe_cost=LOSS(+15.4%) projection_cost=WIN(-3.4%)
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tierb probe_cost=LOSS(+5.4%) projection_cost=WIN(-14.6%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T16__tierb probe_cost=WIN(-24.6%) projection_cost=LOSS(+20.2%)
    tpcds__catalog_sales_cs_sold_time_sk__time_dim_t_time_sk__T96__tierb probe_cost=WIN(-26.3%) projection_cost=LOSS(+13.8%)
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T16__tierb probe_cost=WIN(-38.8%) projection_cost=LOSS(+4.4%)
    tpcds__customer_c_current_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-4.2%) projection_cost=LOSS(+19.2%)
    tpcds__inventory_inv_item_sk__item_i_item_sk__T16__tierb probe_cost=WIN(-15.9%) projection_cost=LOSS(+15.7%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb probe_cost=WIN(-13.1%) projection_cost=LOSS(+33.5%)
    tpcds__store_returns_sr_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb probe_cost=WIN(-19.1%) projection_cost=LOSS(+13.1%)
    tpcds__store_returns_sr_item_sk__item_i_item_sk__T16__tierb probe_cost=WIN(-8.6%) projection_cost=LOSS(+18.4%)
    tpcds__store_returns_sr_item_sk__item_i_item_sk__filtered__T96__tierb probe_cost=LOSS(+8.8%) projection_cost=WIN(-3.4%)
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__T96__tierb probe_cost=WIN(-6.8%) projection_cost=LOSS(+4.3%)
    tpcds__store_returns_sr_returned_date_sk__date_dim_d_date_sk__filtered__T96__tierb probe_cost=LOSS(+17.2%) projection_cost=WIN(-5.2%)
    tpcds__store_returns_sr_store_sk__store_s_store_sk__T96__tierb probe_cost=LOSS(+15.1%) projection_cost=WIN(-4.2%)
    tpcds__store_returns_sr_store_sk__store_s_store_sk__filtered__T96__tierb probe_cost=LOSS(+4.0%) projection_cost=WIN(-4.5%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-23.1%) projection_cost=LOSS(+21.9%)
    tpcds__store_sales_ss_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-8.5%) projection_cost=LOSS(+12.2%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb probe_cost=WIN(-15.8%) projection_cost=LOSS(+33.6%)
    tpcds__store_sales_ss_cdemo_sk__customer_demographics_cd_demo_sk__T96__tierb probe_cost=WIN(-22.4%) projection_cost=LOSS(+13.3%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T16__tierb probe_cost=WIN(-14.7%) projection_cost=LOSS(+31.3%)
    tpcds__store_sales_ss_customer_sk__customer_c_customer_sk__T96__tierb probe_cost=WIN(-18.5%) projection_cost=LOSS(+7.1%)
    tpcds__store_sales_ss_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb probe_cost=LOSS(+5.5%) projection_cost=WIN(-4.8%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__T16__tierb probe_cost=WIN(-10.9%) projection_cost=LOSS(+12.5%)
    tpcds__store_sales_ss_item_sk__item_i_item_sk__filtered__T96__tierb probe_cost=LOSS(+11.2%) projection_cost=WIN(-5.5%)
    tpcds__store_sales_ss_item_sk__store_returns_sr_item_sk__composite__T96__tierb probe_cost=WIN(-11.7%) projection_cost=LOSS(+21.3%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T16__tierb probe_cost=WIN(-15.9%) projection_cost=LOSS(+12.6%)
    tpcds__store_sales_ss_sold_time_sk__time_dim_t_time_sk__T96__tierb probe_cost=WIN(-20.0%) projection_cost=LOSS(+7.1%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__T96__tierb probe_cost=LOSS(+16.1%) projection_cost=WIN(-6.2%)
    tpcds__store_sales_ss_store_sk__store_s_store_sk__filtered__T96__tierb probe_cost=LOSS(+5.8%) projection_cost=WIN(-5.2%)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-17.9%) projection_cost=LOSS(+20.7%)
    tpcds__web_returns_wr_refunded_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-14.2%) projection_cost=LOSS(+16.2%)
    tpcds__web_returns_wr_refunded_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb probe_cost=WIN(-11.6%) projection_cost=LOSS(+33.1%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-16.3%) projection_cost=LOSS(+22.9%)
    tpcds__web_returns_wr_returning_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-14.8%) projection_cost=LOSS(+14.8%)
    tpcds__web_returns_wr_returning_cdemo_sk__customer_demographics_cd_demo_sk__T16__tierb probe_cost=WIN(-13.9%) projection_cost=LOSS(+32.7%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-23.5%) projection_cost=LOSS(+23.8%)
    tpcds__web_sales_ws_bill_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-14.2%) projection_cost=LOSS(+12.8%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T16__tierb probe_cost=WIN(-14.0%) projection_cost=LOSS(+33.3%)
    tpcds__web_sales_ws_bill_customer_sk__customer_c_customer_sk__T96__tierb probe_cost=WIN(-19.5%) projection_cost=LOSS(+7.3%)
    tpcds__web_sales_ws_item_sk__item_i_item_sk__T16__tierb probe_cost=WIN(-9.9%) projection_cost=LOSS(+15.6%)
    tpcds__web_sales_ws_item_sk__item_i_item_sk__filtered__T96__tierb probe_cost=LOSS(+11.3%) projection_cost=WIN(-3.5%)
    tpcds__web_sales_ws_item_sk__web_returns_wr_item_sk__composite__T96__tierb probe_cost=WIN(-9.8%) projection_cost=LOSS(+20.3%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T16__tierb probe_cost=WIN(-23.8%) projection_cost=LOSS(+22.8%)
    tpcds__web_sales_ws_ship_addr_sk__customer_address_ca_address_sk__T96__tierb probe_cost=WIN(-15.8%) projection_cost=LOSS(+11.5%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__T96__tierb probe_cost=WIN(-23.4%) projection_cost=LOSS(+3.4%)
    tpcds__web_sales_ws_ship_date_sk__date_dim_d_date_sk__filtered__T96__tierb probe_cost=LOSS(+17.3%) projection_cost=WIN(-3.6%)
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb probe_cost=LOSS(+5.5%) projection_cost=WIN(-3.4%)
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tierb probe_cost=LOSS(+3.9%) projection_cost=WIN(-15.4%)
    tpcds__web_sales_ws_sold_date_sk__date_dim_d_date_sk__filtered__T96__tierb probe_cost=LOSS(+16.2%) projection_cost=WIN(-4.0%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T16__tierb probe_cost=WIN(-24.6%) projection_cost=LOSS(+18.1%)
    tpcds__web_sales_ws_sold_time_sk__time_dim_t_time_sk__T96__tierb probe_cost=WIN(-26.0%) projection_cost=LOSS(+12.7%)
    tpch__customer_c_nationkey__nation_n_nationkey__T96__tierb probe_cost=LOSS(+6.3%) projection_cost=WIN(-13.2%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T16__tierb probe_cost=WIN(-39.7%) projection_cost=LOSS(+4.2%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T96__tierb probe_cost=WIN(-15.7%) projection_cost=LOSS(+8.0%)
    tpch__lineitem_l_partkey__part_p_partkey__T16__tierb probe_cost=WIN(-13.2%) projection_cost=LOSS(+45.1%)
    tpch__lineitem_l_partkey__part_p_partkey__T96__tierb probe_cost=WIN(-17.6%) projection_cost=LOSS(+18.0%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T16__tierb probe_cost=WIN(-19.3%) projection_cost=LOSS(+11.1%)
    tpch__lineitem_l_partkey__part_p_partkey__filtered__T96__tierb probe_cost=WIN(-11.7%) projection_cost=LOSS(+11.1%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T16__tierb probe_cost=WIN(-12.3%) projection_cost=LOSS(+31.7%)
    tpch__lineitem_l_suppkey__supplier_s_suppkey__T96__tierb probe_cost=WIN(-25.8%) projection_cost=LOSS(+10.6%)
    tpch__orders_o_custkey__customer_c_custkey__T16__tierb probe_cost=WIN(-21.9%) projection_cost=LOSS(+40.0%)
    tpch__orders_o_custkey__customer_c_custkey__T96__tierb probe_cost=WIN(-13.6%) projection_cost=LOSS(+11.6%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T16__tierb probe_cost=WIN(-22.9%) projection_cost=LOSS(+28.0%)
    tpch__orders_o_custkey__customer_c_custkey__filtered__T96__tierb probe_cost=WIN(-16.4%) projection_cost=LOSS(+11.2%)
    tpch__orders_o_custkey__customer_c_custkey__left__T16__tierb probe_cost=WIN(-24.6%) projection_cost=LOSS(+39.5%)
    tpch__orders_o_custkey__customer_c_custkey__left__T96__tierb probe_cost=WIN(-19.5%) projection_cost=LOSS(+11.1%)
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T16__tierb probe_cost=LOSS(+15.9%) projection_cost=WIN(-11.4%)
    tpch__orders_o_custkey__customer_c_custkey__left_anti__T96__tierb probe_cost=LOSS(+13.2%) projection_cost=WIN(-25.6%)
    tpch__partsupp_ps_partkey__part_p_partkey__T16__tierb probe_cost=WIN(-43.1%) projection_cost=LOSS(+4.1%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T16__tierb probe_cost=WIN(-20.9%) projection_cost=LOSS(+26.1%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T96__tierb probe_cost=WIN(-34.9%) projection_cost=LOSS(+14.8%)

NO-VERDICT CELLS: 11
    tpcds__catalog_sales_cs_bill_customer_sk__store_returns_sr_customer_sk__T16__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 600.1s > unit-time-budget 30.0s (and failed: rc=159 stderr=Received exception from server (version 26.8.1):\nCode: 159. DB::Exception: Received from localhost:9005. D); unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 600.1s > unit-time-budget 30.0s (and failed: rc=159 stderr=Received exception from server (version 26.8.1):\nCode: 159. DB::Exception: Received from localhost:9005. D); unit skipped before any timed run'}
    tpcds__catalog_sales_cs_bill_customer_sk__store_returns_sr_customer_sk__T96__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 270.7s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 270.7s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__catalog_sales_cs_item_sk__store_returns_sr_item_sk__T16__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 32.8s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 32.8s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__inventory_inv_item_sk__catalog_sales_cs_item_sk__T16__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 144.0s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 144.0s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__inventory_inv_item_sk__catalog_sales_cs_item_sk__T96__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 36.3s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 36.3s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__store_sales_ss_item_sk__catalog_sales_cs_item_sk__T16__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 321.9s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 321.9s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__store_sales_ss_item_sk__catalog_sales_cs_item_sk__T96__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 76.4s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm candidate warmup 0 took 76.4s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__store_sales_ss_item_sk__web_sales_ws_item_sk__T16__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 161.7s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 161.7s > unit-time-budget 30.0s; unit skipped before any timed run'}
    tpcds__store_sales_ss_item_sk__web_sales_ws_item_sk__T96__tierb {'probe_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 38.7s > unit-time-budget 30.0s; unit skipped before any timed run', 'projection_cost': 'harness voided: jbmt unit status OVER_BUDGET: arm baseline warmup 0 took 38.7s > unit-time-budget 30.0s; unit skipped before any timed run'}
