probe_ab_report: 1 file(s), 8052 timed-run rows, arms present [('baseline', None), ('candidate', None)]
arm A = 'baseline'   arm B = 'candidate'   metrics = ['probe_cost', 'projection_cost']

=== Unit 3 jbmt real tier b: per-metric verdicts (band = max(3%, per-arm relative spread), evaluated per metric) ===

probe_cost: verdicts 365   win=164 tie=50 loss=151   no-verdict=11
  aggregate 493,179.2 ms -> 449,846.8 ms (-8.8%)
  median per-cell delta -0.4%
  LOSSES on probe_cost: 151
    cell                                                 A ms       B ms    delta   band         disp A->B (ms)       lookup A->B (ms)      probe tot A->B (ms)
    tpcds__web_sales_ws_ship_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb      671.3      707.9    +5.5%   3.0%               0.2->3.1           671.2->704.7         1,885.0->1,883.2
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tierb      648.5      683.8    +5.4%   3.0%               0.9->6.4           647.6->677.4         3,915.1->3,465.2
    tpcds__store_sales_ss_store_sk__store_s_store_sk__filtered__T16__tierb    1,293.5    1,360.2    +5.2%   3.0%               0.1->5.9       1,293.4->1,354.3         2,554.4->2,624.7
    tpcds__catalog_sales_cs_bill_hdemo_sk__household_demographics_hd_demo_sk__T96__tierb    1,347.9    1,417.0    +5.1%   3.0%               0.2->6.1       1,347.7->1,410.9         3,751.5->3,718.4
    tpcds__catalog_sales_cs_catalog_page_sk__catalog_page_cp_catalog_page_sk__T16__tierb      829.9      870.0    +4.8%   3.0%               0.0->4.2           829.9->865.9         1,940.2->1,978.7
    job__cast_info_person_id__aka_name_person_id__T96__tierb      423.6      442.0    +4.3%   3.0%               0.1->2.5           423.4->439.5         1,859.4->1,937.5
    tpcds__catalog_returns_cr_call_center_sk__call_center_cc_call_center_sk__T96__tierb       61.0       63.7    +4.3%   3.0%               0.0->0.8             61.0->62.8             415.6->402.1
    tpcds__catalog_sales_cs_warehouse_sk__warehouse_w_warehouse_sk__T96__tierb      609.9      635.1    +4.1%   3.0%               0.3->6.1           609.6->628.8         3,428.4->3,448.6
    tpcds__store_returns_sr_store_sk__store_s_store_sk__filtered__T96__tierb      138.7      144.2    +4.0%   3.0%               0.0->0.9           138.7->143.3             310.1->308.4
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T96__tierb      326.8      339.7    +3.9%   3.0%               0.4->3.2           326.3->336.4         2,006.5->1,759.9
    tpcds__inventory_inv_date_sk__date_dim_d_date_sk__T96__tierb      578.9      600.7    +3.8%   3.0%               0.1->4.8           578.8->595.1         1,672.3->1,691.5
    tpcds__web_sales_ws_warehouse_sk__warehouse_w_warehouse_sk__T96__tierb      309.1      320.3    +3.6%   3.0%               0.2->3.2           308.8->317.2         1,758.8->1,761.6
    tpcds__web_sales_ws_web_site_sk__web_site_web_site_sk__T16__tierb      253.9      262.9    +3.6%   3.0%               0.0->2.4           253.9->260.7         1,419.4->1,558.5
    tpcds__web_sales_ws_warehouse_sk__warehouse_w_warehouse_sk__T16__tierb      254.6      263.6    +3.6%   3.0%               0.0->2.3           254.5->261.3         1,271.3->1,300.2
    tpch__partsupp_ps_partkey__part_p_partkey__filtered__T16__tierb      403.6      417.3    +3.4%   3.0%               0.0->2.5           403.5->414.7             452.9->472.9
    tpcds__web_sales_ws_ship_mode_sk__ship_mode_sm_ship_mode_sk__T16__tierb      253.1      261.6    +3.4%   3.0%               0.0->2.1           253.0->259.5         1,028.6->1,022.3
    tpcds__catalog_sales_cs_ship_mode_sk__ship_mode_sm_ship_mode_sk__T16__tierb      506.0      522.2    +3.2%   3.0%               0.0->4.0           505.9->518.1         2,044.8->2,026.3
    tpcds__store_sales_ss_promo_sk__promotion_p_promo_sk__T96__tierb    1,228.4    1,266.9    +3.1%   3.0%              0.6->11.6       1,227.7->1,255.3         5,697.8->5,775.6
    job__cast_info_role_id__role_type_id__T16__tierb      195.0      201.0    +3.1%   3.0%               0.0->1.5           195.0->199.6             607.6->621.3
    tpcds__inventory_inv_warehouse_sk__warehouse_w_warehouse_sk__T16__tierb      446.5      460.4    +3.1%   3.0%               0.0->2.9           446.5->457.4         1,937.8->1,981.7
    tpcds__inventory_inv_warehouse_sk__warehouse_w_warehouse_sk__T96__tierb      518.6      534.7    +3.1%   3.0%               0.1->5.0           518.5->529.7         2,563.0->2,536.0
  WINS on probe_cost: 164
    tpch__partsupp_ps_partkey__part_p_partkey__T16__tierb    1,540.2 ->      877.0   -43.1% (band 3.0%)
    tpcds__customer_address_ca_zip__store_s_zip__T16__tierb       14.5 ->        8.7   -40.1% (band 3.0%)
    tpch__lineitem_l_orderkey__orders_o_orderkey__T16__tierb   15,616.1 ->    9,419.9   -39.7% (band 3.0%)
    tpcds__customer_address_ca_zip__store_s_zip__filtered__T16__tierb       14.3 ->        8.7   -38.8% (band 3.0%)
    tpcds__customer_address_ca_zip__store_s_zip__T96__tierb       14.6 ->        9.1   -37.7% (band 3.0%)
    tpch__partsupp_ps_suppkey__supplier_s_suppkey__T96__tierb    2,165.4 ->    1,408.6   -34.9% (band 3.0%)
    job__movie_info_movie_id__movie_keyword_movie_id__T96__tierb      490.3 ->      330.6   -32.6% (band 3.0%)
