q	run	sec	build_rows	rf_created	prealloc	sel_rows
q46	r1	0.221	14011131	8	3161248	21588430
q46	r2	0.149	14871468	8	3294592	21588430
q46	r3	0.123	12146049	8	3294592	21588430
q46	r4	0.134	14276832	8	3294592	21588430
q46	r5	0.123	13108839	8	3294592	21588430
q46	r6	0.132	14539372	8	3294592	21588430
q47	r1	0.211	15263027	8	3294592	21588430
q47	r2	0.144	15121410	8	3295776	21588430
q47	r3	0.125	12968734	8	3295776	21588430
q47	r4	0.123	13032931	8	3295776	21588430
q47	r5	0.129	14361983	8	3295776	21588430
q47	r6	0.123	12792926	8	3295776	21588430
q48	r1	0.217	15296331	6	3295776	21588430
q48	r2	0.145	16489499	6	3586304	21588430
q48	r3	0.128	15060779	6	3586304	21588430
q48	r4	0.137	16145387	6	3586304	21588430
q48	r5	0.128	14714142	6	3587392	21588430
q48	r6	0.128	14088905	6	3587392	21588430
q49	r1	0.54	39869	6	0	23402400
q49	r2	0.298	3890570	4	0	23402400
q49	r3	0.15	3890571	4	575904	23402400
q49	r4	0.148	3890563	4	575904	23402400
q49	r5	0.147	3890575	4	575904	23402400
q49	r6	0.149	3890449	4	575904	23402400
q50	r1	0.532	19543	6	0	23402400
q50	r2	0.14	392951	3	0	23402400
q50	r3	0.141	268415	5	0	23402400
q50	r4	0.127	268415	5	259840	23402400
q50	r5	0.128	268415	5	259840	23402400
q50	r6	0.127	268415	5	259840	23402400
q51	r1	0.543	49283	6	0	23402400
q51	r2	0.307	3894570	5	0	23402400
q51	r3	0.154	3894559	5	575904	23402400
q51	r4	0.168	3894559	5	575904	23402400
q51	r5	0.158	3894559	5	575904	23402400
q51	r6	0.155	3894545	5	575904	23402400
q52	r1	0.343	4988348	8	0	25227847
q52	r2	0.105	4744139	8	851824	25227847
q52	r3	0.097	4744381	8	610944	25227847
q52	r4	0.097	4744402	8	610944	25227847
q52	r5	0.11	4744451	8	610944	25227847
q52	r6	0.095	4744570	8	610944	25227847
q53	r1	0.308	138179	7	551346	25227847
q53	r2	0.095	4494	5	0	25227847
q53	r3	0.078	4494	5	0	25227847
q53	r4	0.079	4494	5	0	25227847
q53	r5	0.078	4494	5	0	25227847
q53	r6	0.079	4494	5	0	25227847
q54	r1	0.308	227637	8	134160	25227847
q54	r2	0.157	5694329	8	134160	25227847
q54	r3	0.106	5694253	8	1101408	25227847
q54	r4	0.109	5694266	8	1101408	25227847
q54	r5	0.132	5694274	8	1101408	25227847
q54	r6	0.104	5694245	8	1101408	25227847
q55	r1	0.191	4752791	8	1101408	25227847
q55	r2	0.072	4753838	8	610944	25227847
q55	r3	0.075	4751912	8	610944	25227847
q55	r4	0.074	4753182	8	610944	25227847
q55	r5	0.073	4753718	8	610944	25227847
q55	r6	0.073	4753588	8	610944	25227847
q56	r1	0.437	22283783	6	1625280	51343716
q56	r2	0.24	22283710	6	6760864	51343716
q56	r3	0.238	22283710	6	6760864	51343716
q56	r4	0.233	22283710	6	6760864	51343716
q56	r5	0.243	22283710	6	6760864	51343716
q56	r6	0.23	22283710	6	6760864	51343716
q57	r1	0.347	6950408	6	0	51343716
q57	r2	0.123	6950408	6	504352	51343716
q57	r3	0.122	6950408	6	504352	51343716
q57	r4	0.122	6950408	6	504352	51343716
q57	r5	0.122	6950408	6	504352	51343716
q57	r6	0.12	6950408	6	504352	51343716
q58	r1	0.427	22324694	6	6760864	51343716
q58	r2	0.273	22324678	6	6760864	51343716
q58	r3	0.27	22324678	6	6760864	51343716
q58	r4	0.261	22324678	6	6760864	51343716
q58	r5	0.262	22324678	6	6760864	51343716
q58	r6	0.264	22324678	6	6760864	51343716
q59	r1	0.402	22288916	6	6760864	51343716
q59	r2	0.253	22288908	6	6760864	51343716
q59	r3	0.247	22288908	6	6760864	51343716
q59	r4	0.246	22288908	6	6760864	51343716
q59	r5	0.246	22288908	6	6760864	51343716
q59	r6	0.256	22288908	6	6760864	51343716
q60	r1	0.286	4865905	5	2528304	50442373
q60	r2	0.112	2134687	5	0	50442373
q60	r3	0.098	2134687	5	487296	50442373
q60	r4	0.095	2134687	5	487296	50442373
q60	r5	0.096	2134687	5	487296	50442373
q60	r6	0.095	2134687	5	487296	50442373
q61	r1	0.239	3525038	4	572320	50442373
q61	r2	0.077	1145824	5	446672	50442373
q61	r3	0.072	1145824	5	446672	50442373
q61	r4	0.071	1145824	5	446672	50442373
q61	r5	0.07	1145824	5	446672	50442373
q61	r6	0.071	1145824	5	446672	50442373
