q	run	sec	build_rows	rf_created	prealloc	sel_rows
q69	r1	0.657	4190754	8	3225168	64661800
q69	r2	0.204	4190359	8	4134000	64661800
q69	r3	0.202	4190356	8	4134000	64661800
q69	r4	0.204	4190031	8	4134000	64661800
q69	r5	0.202	4189839	8	4134000	64661800
q69	r6	0.206	4189839	8	4134000	64661800
q70	r1	0.625	3231906	8	3225168	64661800
q70	r2	0.184	3231906	8	3231280	64661800
q70	r3	0.208	3231906	8	3231280	64661800
q70	r4	0.215	3231906	8	3231280	64661800
q70	r5	0.185	3231906	8	3231280	64661800
q70	r6	0.186	3231906	8	3231280	64661800
q71	r1	0.65	4301986	8	3225168	64661800
q71	r2	0.218	4301993	8	3960704	64661800
q71	r3	0.205	4301986	8	3960704	64661800
q71	r4	0.203	4301986	8	3960704	64661800
q71	r5	0.204	4301986	8	3960704	64661800
q71	r6	0.207	4301986	8	3960704	64661800
q72	r1	0.349	15520421	8	5685552	64661800
q72	r2	0.177	14681011	8	7633696	64661800
q72	r3	0.189	17521875	8	7633696	64661800
q72	r4	0.181	17364698	8	7633696	64661800
q72	r5	0.174	16299267	8	7633696	64661800
q72	r6	0.183	17339675	8	7633696	64661800
q73	r1	0.221	4168116	9	0	50873687
q73	r2	0.085	4168116	9	4167808	50873687
q73	r3	0.082	4168116	9	4167808	50873687
q73	r4	0.081	4168116	9	4167808	50873687
q73	r5	0.089	4168116	9	4167808	50873687
q73	r6	0.082	4168116	9	4167808	50873687
q74	r1	0.219	96222	9	16	50873687
q74	r2	0.085	96222	9	93904	50873687
q74	r3	0.074	96222	9	93904	50873687
q74	r4	0.079	96222	9	93904	50873687
q74	r5	0.078	96222	9	93904	50873687
q74	r6	0.074	96222	9	93904	50873687
q75	r1	0.351	5036993	9	4167792	50873687
q75	r2	0.143	5036993	9	4729776	50873687
q75	r3	0.138	5036993	9	4729776	50873687
q75	r4	0.154	5036993	9	4729776	50873687
q75	r5	0.142	5036993	9	4729776	50873687
q75	r6	0.147	5036993	9	4729776	50873687
q76	r1	0.007	0	0	0	0
q76	r2	0.006	0	0	0	0
q76	r3	0.006	0	0	0	0
q76	r4	0.006	0	0	0	0
