q	run	sec	build_rows	rf_created	prealloc	sel_rows
q72	r2	0.2	13324582	8	0	64661800
q72	r3	0.194	17169562	8	0	64661800
q72	r4	0.185	16758060	8	0	64661800
q72	r5	0.2	17904813	8	0	64661800
q72	r6	0.187	16933290	8	0	64661800
q73	r1	0.226	4168116	9	0	50873687
q73	r2	0.083	4168116	9	0	50873687
q73	r3	0.084	4168116	9	0	50873687
q73	r4	0.081	4168116	9	0	50873687
q73	r5	0.085	4168116	9	0	50873687
q73	r6	0.082	4168116	9	0	50873687
q74	r1	0.224	96222	9	0	50873687
q74	r2	0.09	96222	9	0	50873687
q74	r3	0.08	96222	9	0	50873687
q74	r4	0.08	96222	9	0	50873687
q74	r5	0.08	96222	9	0	50873687
q74	r6	0.082	96222	9	0	50873687
q75	r1	0.353	5036993	9	0	50873687
q75	r2	0.145	5036993	9	0	50873687
q75	r3	0.143	5036993	9	0	50873687
q75	r4	0.157	5036993	9	0	50873687
q75	r5	0.143	5036993	9	0	50873687
q75	r6	0.145	5036993	9	0	50873687
q76	r1	0.006	0	0	0	0
q76	r2	0.006	0	0	0	0
q76	r3	0.006	0	0	0	0
q76	r4	0.006	0	0	0	0
q76	r5	0.006	0	0	0	0
q76	r6	0.006	0	0	0	0
q77	r1	0.006	0	0	0	0
q77	r2	0.006	0	0	0	0
q77	r3	0.006	0	0	0	0
q77	r4	0.006	0	0	0	0
q77	r5	0.006	0	0	0	0
q77	r6	0.006	0	0	0	0
q78	r1	0.006	0	0	0	0
q78	r2	0.006	0	0	0	0
q78	r3	0.006	0	0	0	0
q78	r4	0.006	0	0	0	0
q78	r5	0.006	0	0	0	0
q78	r6	0.006	0	0	0	0
q79	r1	0.62	608238	9	0	26246530
q79	r2	0.181	608238	9	0	26246530
q79	r3	0.18	608238	9	0	26246530
q79	r4	0.179	608238	9	0	26246530
q79	r5	0.18	608238	9	0	26246530
q79	r6	0.178	608238	9	0	26246530
q80	r1	0.592	608238	9	0	26246530
q80	r2	0.177	608238	9	0	26246530
q80	r3	0.176	608238	9	0	26246530
q80	r4	0.174	608238	9	0	26246530
q80	r5	0.179	608238	9	0	26246530
q80	r6	0.175	608238	9	0	26246530
q81	r1	0.618	893564	9	0	26246530
q81	r2	0.177	893564	9	0	26246530
q81	r3	0.179	893564	9	0	26246530
q81	r4	0.178	893564	9	0	26246530
q81	r5	0.179	893564	9	0	26246530
q81	r6	0.181	893564	9	0	26246530
q82	r1	0.606	1765790	9	0	26246530
q82	r2	0.18	1765790	9	0	26246530
q82	r3	0.185	1765790	9	0	26246530
q82	r4	0.179	1765790	9	0	26246530
q82	r5	0.182	1765790	9	0	26246530
q82	r6	0.18	1765790	9	0	26246530
q83	r1	0.368	11943752	10	0	25001472
q83	r2	0.139	11943854	10	0	25001472
q83	r3	0.129	11943826	10	0	25001472
q83	r4	0.146	11943860	10	0	25001472
q83	r5	0.13	11943821	10	0	25001472
q83	r6	0.129	11943706	10	0	25001472
q84	r1	0.331	91210	10	0	25001472
q84	r2	0.089	91210	10	0	25001472
q84	r3	0.092	91210	10	0	25001472
q84	r4	0.089	91210	10	0	25001472
q84	r5	0.088	91210	10	0	25001472
q84	r6	0.088	91210	10	0	25001472
q85	r1	0.37	11994089	10	0	25001472
q85	r2	0.133	11946916	10	0	25001472
q85	r3	0.133	11946925	10	0	25001472
q85	r4	0.133	11946952	10	0	25001472
q85	r5	0.13	11946980	10	0	25001472
q85	r6	0.132	11946908	10	0	25001472
q86	r1	0.696	146628	12	0	69319900
q86	r2	0.212	146711	12	0	69319900
q86	r3	0.209	146705	12	0	69319900
q86	r4	0.236	146620	12	0	69319900
q86	r5	0.206	146606	12	0	69319900
q86	r6	0.213	146624	12	0	69319900
q87	r1	0.679	59749	12	0	69319900
q87	r2	0.2	59749	12	0	69319900
q87	r3	0.206	59757	12	0	69319900
q87	r4	0.202	59749	12	0	69319900
q87	r5	0.199	59749	12	0	69319900
q87	r6	0.204	59751	12	0	69319900
q88	r1	0.64	4313411	7	0	63814228
q88	r2	0.176	4313411	7	0	63814228
q88	r3	0.175	4313411	7	0	63814228
q88	r4	0.179	4313411	7	0	63814228
q88	r5	0.172	4313411	7	0	63814228
q88	r6	0.171	4313411	7	0	63814228
q89	r1	0.637	2261288	6	0	63814228
q89	r2	0.166	2261288	6	0	63814228
q89	r3	0.165	2261288	6	0	63814228
q89	r4	0.164	2261288	6	0	63814228
q89	r5	0.164	2261288	6	0	63814228
q89	r6	0.165	2261288	6	0	63814228
q90	r1	0.657	4532445	7	0	63814228
q90	r2	0.197	4532445	7	0	63814228
q90	r3	0.191	4532445	7	0	63814228
q90	r4	0.195	4532445	7	0	63814228
q90	r5	0.193	4532445	7	0	63814228
q90	r6	0.188	4532445	7	0	63814228
q91	r1	0.362	4488877	11	0	52253835
q91	r2	0.149	4488877	11	0	52253835
q91	r3	0.143	4488877	11	0	52253835
q91	r4	0.141	4488877	11	0	52253835
q91	r5	0.142	4488877	11	0	52253835
q91	r6	0.144	4488877	11	0	52253835
q92	r1	0.315	4366004	11	0	52253835
q92	r2	0.129	4366004	11	0	52253835
q92	r3	0.125	4366004	11	0	52253835
q92	r4	0.127	4366004	11	0	52253835
q92	r5	0.124	4366004	11	0	52253835
q92	r6	0.126	4366004	11	0	52253835
q93	r1	0.358	5172384	11	0	52253835
q93	r2	0.162	5172384	11	0	52253835
q93	r3	0.157	5172384	11	0	52253835
q93	r4	0.156	5172384	11	0	52253835
q93	r5	0.162	5172384	11	0	52253835
q93	r6	0.157	5172384	11	0	52253835
q94	r1	0.006	0	0	0	0
q94	r2	0.006	0	0	0	0
q94	r3	0.005	0	0	0	0
q94	r4	0.006	0	0	0	0
q94	r5	0.005	0	0	0	0
q94	r6	0.005	0	0	0	0
q95	r1	0.006	0	0	0	0
q95	r2	0.005	0	0	0	0
q95	r3	0.005	0	0	0	0
q95	r4	0.005	0	0	0	0
q95	r5	0.005	0	0	0	0
q95	r6	0.005	0	0	0	0
q96	r1	0.006	0	0	0	0
q96	r2	0.006	0	0	0	0
q96	r3	0.006	0	0	0	0
q96	r4	0.006	0	0	0	0
q96	r5	0.005	0	0	0	0
q96	r6	0.006	0	0	0	0
q97	r1	0.652	930219	13	0	26381624
q97	r2	0.194	930219	13	0	26381624
q97	r3	0.188	930219	13	0	26381624
q97	r4	0.188	930219	13	0	26381624
q97	r5	0.193	930219	13	0	26381624
q97	r6	0.186	930219	13	0	26381624
q98	r1	0.614	359999	13	0	26381624
q98	r2	0.171	359999	13	0	26381624
q98	r3	0.17	359999	13	0	26381624
q98	r4	0.171	359999	13	0	26381624
q98	r5	0.173	359999	13	0	26381624
q98	r6	0.171	359999	13	0	26381624
q99	r1	0.649	944622	13	0	26381624
q99	r2	0.191	944622	13	0	26381624
q99	r3	0.19	944622	13	0	26381624
q99	r4	0.189	944622	13	0	26381624
q99	r5	0.191	944622	13	0	26381624
q99	r6	0.189	944622	13	0	26381624
q100	r1	0.747	718918	18	0	72418771
q100	r2	0.237	718918	18	0	72418771
q100	r3	0.253	718918	18	0	72418771
q100	r4	0.253	718918	18	0	72418771
q100	r5	0.239	718918	18	0	72418771
q100	r6	0.236	718918	18	0	72418771
q101	r1	0.729	232540	18	0	72418771
q101	r2	0.22	232540	18	0	72418771
q101	r3	0.219	232540	18	0	72418771
q101	r4	0.217	232540	18	0	72418771
q101	r5	0.218	232540	18	0	72418771
q101	r6	0.217	232540	18	0	72418771
q102	r1	0.789	4902670	19	0	72418771
q102	r2	0.285	4902670	19	0	72418771
q102	r3	0.269	4902670	19	0	72418771
q102	r4	0.287	4902670	19	0	72418771
q102	r5	0.263	4902670	19	0	72418771
q102	r6	0.262	4902670	19	0	72418771
q103	r1	0.687	2289893	10	0	63949322
q103	r2	0.201	2289893	10	0	63949322
q103	r3	0.201	2289893	10	0	63949322
q103	r4	0.198	2289893	10	0	63949322
q103	r5	0.199	2289893	10	0	63949322
q103	r6	0.203	2289893	10	0	63949322
q104	r1	0.694	2289547	10	0	63949322
q104	r2	0.2	2289547	10	0	63949322
q104	r3	0.201	2289547	10	0	63949322
q104	r4	0.198	2289547	10	0	63949322
q104	r5	0.198	2289547	10	0	63949322
